Pdose,Ndose,energy,model,Vd,Voltage,Current
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.405300188,0.00000000004827801789
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.452800188,0.00000000029982881522
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.500300188,0.00000000186013252398
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.547800188,0.00000001150081793770
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.595300188,0.00000007016040347490
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.642800188,0.00000040427535002000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.690300188,0.00000195229427895000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.737800188,0.00000709271612819000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.785300188,0.00001967981813650000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.832800188,0.00004339955862950000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.880300188,0.00007786022947130000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.927800188,0.00011771665577500000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,0.975300188,0.00015686351018300000
10000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,0.05,1,0.00017573419295600000
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-1,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.98,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.95,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.905,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.8375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.7375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.6375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.5375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.4375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.3375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.2375,-0.00000000000000000010
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.1375,-0.00000000000000000014
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,-0.0375,-0.00000000000000000195
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.0625,0.00000000000000000121
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.1625,0.00000000000000005067
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.2625,0.00000000000000268063
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.3625,0.00000000000012811999
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.4625,0.00000000000612186152
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.5625,0.00000000029239085480
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.6625,0.00000001395106221620
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.7625,0.00000066171352097100
10000000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,75,Constant,-1,0.8625,0.00002762899847690000
